ID,Distancia,Altura,X,Y
1,10,134.04940795900,659737.12803400000,2251050.40455000000
2,20,133.32719421400,659738.99915500000,2251060.22793000000
3,30,132.61666870100,659740.87027600000,2251070.05132000000
4,40,132.26614379900,659742.15116200000,2251079.93042000000
5,50,131.90443420400,659742.15116200000,2251089.93042000000
6,60,131.22087097200,659742.15116200000,2251099.93042000000
7,70,130.33602905300,659741.59398500000,2251109.10402000000
8,80,128.49340820300,659744.05145200000,2251118.79736000000
9,90,126.04904937700,659746.50891900000,2251128.49070000000
10,100,125.00000000000,659748.96638500000,2251138.18405000000
11,110,125.09059143100,659751.42385200000,2251147.87739000000
12,120,125.80189514200,659752.27162800000,2251157.76281000000
13,130,126.66059875500,659752.16410800000,2251167.76223000000
14,140,127.07196807900,659752.05658700000,2251177.76166000000
15,150,127.23119354200,659751.94906600000,2251187.76108000000
16,160,127.18583679200,659751.84154600000,2251197.76050000000
17,170,127.14074707000,659751.73402500000,2251207.75992000000
18,180,127.19875335700,659751.62650400000,2251217.75934000000
19,190,127.24883270300,659751.51898400000,2251227.75877000000
20,200,126.94746398900,659751.41146300000,2251237.75819000000
21,210,126.82839202900,659751.30394200000,2251247.75761000000
22,220,126.75238037100,659751.19642200000,2251257.75703000000
23,230,126.68396759000,659751.08890100000,2251267.75645000000
24,240,126.60795593300,659750.98138000000,2251277.75588000000
25,250,126.59449768100,659750.87386000000,2251287.75530000000
26,260,126.27622985800,659750.81518300000,2251297.74896000000
27,270,125.67179107700,659753.09131200000,2251307.48279000000
28,280,125.05385589600,659754.62198200000,2251317.36018000000
29,290,123.90734100300,659755.39869400000,2251327.32623000000
30,300,122.35717773400,659758.16702100000,2251336.91721000000
31,310,120.64313507100,659759.75917700000,2251346.77630000000
32,320,120.00000000000,659760.06615300000,2251356.76144000000
33,330,120.87456512500,659758.82025000000,2251366.67331000000
34,340,122.53218841600,659756.30728900000,2251376.33880000000
35,350,124.16212463400,659752.53531000000,2251385.58744000000
36,360,125.00000000000,659747.40376400000,2251394.15765000000
37,370,125.00000000000,659741.21115400000,2251401.99288000000
38,380,125.00000000000,659736.52265100000,2251410.74783000000
39,390,125.00000000000,659733.82646200000,2251420.35714000000
40,400,125.00000000000,659733.14270900000,2251430.30726000000
41,410,125.00000000000,659734.28764000000,2251440.22303000000
42,420,125.00000000000,659737.53599900000,2251449.66089000000
43,430,125.00000000000,659742.44421200000,2251458.34373000000
44,440,125.00000000000,659749.02921100000,2251465.84356000000
45,450,125.00000000000,659756.92973700000,2251471.92702000000
46,460,125.05723571800,659764.07081300000,2251478.47406000000
47,470,125.40142059300,659771.84678500000,2251484.65220000000
48,480,125.99925994900,659776.87574900000,2251493.21555000000
49,490,126.44887542700,659779.34040900000,2251502.85203000000
50,500,126.80003356900,659783.28553700000,2251511.95062000000
51,510,127.09233093300,659788.39629100000,2251520.54597000000
52,520,127.34382629400,659793.19849500000,2251529.24857000000
53,530,127.91870117200,659794.71240400000,2251539.12360000000
54,540,128.27879333500,659796.54987500000,2251548.93721000000
55,550,128.91989135700,659796.56134900000,2251558.92464000000
56,560,129.74255371100,659795.43369100000,2251568.84967000000
57,570,130.60227966300,659795.64288800000,2251578.75303000000
58,580,131.41407775900,659796.36375600000,2251588.69519000000
59,590,132.50070190400,659794.37526900000,2251598.45759000000
60,600,133.60861206100,659790.74688400000,2251607.51875000000
61,610,134.83789062500,659786.06166900000,2251616.30884000000
62,620,135.97875976600,659783.51867500000,2251625.94729000000
63,630,137.06271362300,659783.35893300000,2251635.92302000000
64,640,137.16609191900,659785.58613100000,2251645.63883000000
65,650,136.68598938000,659789.98217300000,2251654.57707000000
66,660,135.88131713900,659795.05207700000,2251663.01393000000
67,670,135.31892395000,659798.68208200000,2251672.28144000000
68,680,135.37635803200,659799.39536000000,2251682.20393000000
69,690,136.17222595200,659797.12927700000,2251691.89033000000
70,700,137.79187011700,659793.61093700000,2251701.14071000000
71,710,138.89184570300,659793.09087300000,2251711.00000000000
